unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  Vb,  Ib,  ioc,  voc_soc,    Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep221123,2022-11-23T16:44:21,  0.000,  0.161,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:21,  0.161,  0.161,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:21,  0.263,  0.102,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:21,  0.363,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:21,  0.463,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:21,  0.563,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:21,  0.663,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:21,  0.763,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:22,  0.863,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:22,  0.963,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:22,  1.063,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:22,  1.163,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:22,  1.263,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:22,  1.364,  0.101,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:22,  1.463,  0.099,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:22,  1.563,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:22,  1.663,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:22,  1.763,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:23,  1.863,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:23,  1.963,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:23,  2.063,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:23,  2.163,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:23,  2.263,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:23,  2.363,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:23,  2.463,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:23,  2.563,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:23,  2.663,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:23,  2.763,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:24,  2.863,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:24,  2.963,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:24,  3.063,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:24,  3.163,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:24,  3.263,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:24,  3.363,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:24,  3.463,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:24,  3.563,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:24,  3.663,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:24,  3.763,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:25,  3.863,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:25,  3.963,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:25,  4.063,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:25,  4.163,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:25,  4.263,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:25,  4.363,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:25,  4.463,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:25,  4.563,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:25,  4.663,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:25,  4.763,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:26,  4.863,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:26,  4.963,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:26,  5.063,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:26,  5.163,  0.100,0,0,7, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:26,  5.263,  0.100,0,0,7, 25.000, 13.530,  0.000,  0.000, 13.080, 13.800,  0.000, 13.530, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:26,  5.363,  0.100,0,0,7, 25.000, 13.530,  0.000,  0.000, 13.080, 13.800,  0.000, 13.530, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:26,  5.463,  0.100,0,0,7, 25.000, 13.530,  0.000,  0.000, 13.080, 13.800,  0.000, 13.530, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:26,  5.563,  0.100,0,0,7, 25.000, 13.530,  0.000,  0.000, 13.080, 13.800,  0.000, 13.530, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:26,  5.663,  0.100,0,0,7, 25.000, 13.530,  0.000,  0.000, 13.080, 13.800,  0.000, 13.530, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:26,  5.763,  0.100,0,0,7, 25.000, 13.530,  0.000,  0.000, 13.080, 13.800,  0.000, 13.530, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:27,  5.863,  0.100,0,0,7, 25.000, 13.530,  0.000,  0.000, 13.080, 13.800,  0.000, 13.530, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:27,  5.964,  0.101,0,0,7, 25.000, 13.530,  0.000,  0.000, 13.080, 13.800,  0.000, 13.530, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:27,  6.063,  0.099,0,0,7, 25.000, 13.530,  0.000,  0.000, 13.080, 13.800,  0.000, 13.530, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:27,  6.163,  0.100,0,0,7, 25.000, 13.530,  0.000,  0.000, 13.080, 13.800,  0.000, 13.530, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:27,  6.263,  0.100,0,0,7, 25.000, 13.530,  0.000,  0.000, 13.080, 13.800,  0.000, 13.530, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:27,  6.363,  0.100,0,0,7, 25.000, 13.530,  0.000,  0.000, 13.080, 13.800,  0.000, 13.530, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:27,  6.463,  0.100,0,0,7, 25.000, 13.530,  0.000,  0.000, 13.080, 13.800,  0.000, 13.530, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:27,  6.563,  0.100,0,0,7, 25.000, 13.530,  0.000,  0.000, 13.080, 13.800,  0.000, 13.530, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:27,  6.663,  0.100,0,0,7, 25.000, 13.530,  0.000,  0.000, 13.080, 13.800,  0.000, 13.530, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep221123,2022-11-23T16:44:27,  6.763,  0.100,0,0,7, 25.000, 13.530,  0.000,  0.000, 13.080, 13.800,  0.000, 13.530, 13.080,  0.000,  0.500,  0.500,  0.500,
